********************************************************************************
LOGGING TIME: 20200927_150409
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MR, 1, 1602022801512
MM, 465, 452, 7
MM, 492, 452, 7
MM, 520, 450, 7
MM, 537, 449, 7
MM, 549, 447, 7
MM, 557, 446, 7
MM, 563, 445, 7
MM, 564, 445, 7
MM, 566, 445, 7
MM, 567, 445, 15
MM, 567, 445, 20
MM, 567, 445, 7
MM, 567, 446, 15
MM, 567, 447, 7
MM, 567, 448, 7
MM, 567, 448, 7
MM, 567, 449, 7
MM, 567, 450, 7
MM, 567, 450, 20
MM, 567, 451, 15
MM, 567, 452, 70
MM, 567, 452, 14
MM, 567, 453, 7
MM, 567, 454, 8
MM, 567, 455, 7
MM, 567, 459, 7
MM, 566, 463, 7
MM, 565, 469, 6
MM, 562, 477, 8
MWM, 562, 477, 1, 3, 1, 354
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 6
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 6
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 21
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 26
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 701
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 5
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, -1, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 6
MWM, 562, 477, -1, 3, 1, 27
MWM, 562, 477, -1, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 15
MWM, 562, 477, -1, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 15
MWM, 562, 477, -1, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 15
MWM, 562, 477, -1, 3, 1, 16
MWM, 562, 477, -1, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 13
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 17
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 16
MWM, 562, 477, 0, 3, 1, 15
MWM, 562, 477, 0, 3, 1, 17
MWM, 562, 477, 0, 3, 1, 53
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 6
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 5
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 6
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 6
MWM, 562, 477, 0, 3, 1, 8
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 7
MWM, 562, 477, 0, 3, 1, 13
MWM, 562, 477, 0, 3, 1, 30
MM, 560, 470, 3541
MM, 558, 460, 5
MM, 555, 448, 7
MM, 553, 440, 9
MM, 552, 435, 7
MM, 550, 430, 7
MM, 550, 426, 6
MM, 549, 423, 7
MM, 548, 421, 8
MM, 548, 420, 7
MM, 547, 418, 7
MM, 547, 416, 7
MM, 546, 415, 7
MM, 546, 413, 8
MM, 546, 411, 6
MM, 545, 410, 6
MM, 544, 407, 7
MM, 544, 405, 8
MM, 544, 404, 7
MM, 543, 401, 7
MM, 543, 399, 7
MM, 543, 398, 7
MM, 543, 397, 8
MM, 543, 396, 7
MM, 543, 395, 7
MM, 543, 393, 5
MM, 543, 392, 8
MM, 543, 390, 8
MM, 543, 387, 7
MM, 543, 386, 7
MM, 543, 383, 7
MM, 543, 379, 6
MM, 542, 376, 7
MM, 541, 373, 8
MM, 541, 369, 7
MM, 541, 365, 7
MM, 540, 361, 7
MM, 540, 358, 8
MM, 539, 356, 6
MM, 539, 353, 7
MM, 539, 352, 8
MM, 539, 350, 6
MM, 539, 349, 8
MM, 539, 348, 7
MM, 539, 346, 7
MM, 539, 346, 7
MM, 539, 345, 7
MM, 539, 344, 7
MM, 539, 343, 7
MM, 539, 343, 7
MM, 539, 342, 14
MM, 539, 341, 6
MM, 539, 341, 8
MM, 539, 340, 7
MM, 539, 339, 6
MM, 539, 339, 15
MM, 539, 338, 7
MM, 539, 337, 6
MM, 539, 336, 15
MM, 539, 336, 7
MM, 539, 335, 8
MM, 539, 335, 7
MM, 539, 334, 13
MM, 538, 334, 7
MM, 537, 333, 14
MM, 537, 332, 8
MM, 537, 331, 7
MM, 536, 331, 7
MM, 535, 330, 15
MM, 535, 329, 6
MM, 534, 329, 7
MM, 534, 328, 7
MM, 534, 327, 14
MM, 533, 327, 14
MM, 533, 326, 7
MM, 533, 326, 14
MM, 533, 325, 14
MM, 533, 324, 15
MM, 533, 324, 6
MM, 533, 323, 8
MM, 533, 321, 7
MM, 533, 319, 14
MM, 533, 317, 7
MM, 533, 315, 7
MM, 533, 314, 7
MM, 533, 311, 6
MM, 533, 311, 8
MM, 533, 310, 7
MM, 533, 308, 7
MM, 533, 308, 7
MM, 533, 307, 7
MM, 533, 306, 7
MM, 533, 305, 7
MM, 533, 304, 7
MM, 533, 302, 7
MM, 533, 302, 8
MM, 533, 300, 6
MM, 533, 299, 7
MM, 533, 298, 7
MM, 533, 296, 6
MM, 533, 295, 8
MM, 533, 294, 8
MM, 533, 292, 7
MM, 534, 291, 6
MM, 534, 289, 8
MM, 534, 288, 7
MM, 534, 287, 7
MM, 534, 285, 7
MM, 534, 285, 6
MM, 535, 283, 8
MM, 535, 281, 7
MM, 536, 281, 6
MM, 536, 280, 8
MM, 536, 278, 7
MM, 536, 277, 7
MM, 537, 276, 7
MM, 537, 275, 7
MM, 537, 275, 7
MM, 537, 273, 7
MM, 537, 272, 8
MM, 537, 272, 6
MM, 537, 271, 8
MM, 537, 269, 6
MM, 537, 269, 8
MM, 537, 267, 7
MM, 537, 265, 5
MM, 538, 261, 9
MM, 538, 257, 6
MM, 538, 254, 8
MM, 538, 252, 6
MM, 538, 248, 8
MM, 538, 246, 5
MM, 538, 245, 7
MM, 538, 243, 9
MM, 538, 242, 7
MM, 538, 242, 7
MM, 538, 240, 7
MM, 539, 239, 6
MM, 540, 239, 8
MM, 540, 238, 7
MM, 541, 236, 7
MM, 542, 235, 7
MM, 544, 233, 7
MM, 546, 231, 7
MM, 548, 229, 7
MM, 550, 227, 8
MM, 550, 226, 7
MM, 552, 225, 6
MM, 552, 223, 8
MM, 553, 223, 6
MM, 553, 222, 7
MM, 553, 222, 7
MM, 553, 221, 8
MM, 554, 221, 7
MM, 554, 220, 7
MM, 554, 219, 6
MM, 555, 219, 7
MM, 555, 218, 8
MM, 555, 217, 7
MM, 556, 216, 7
MM, 556, 216, 14
MM, 557, 216, 7
MM, 558, 215, 7
MM, 558, 215, 7
MM, 559, 215, 7
MM, 560, 214, 6
MM, 560, 214, 22
MM, 561, 214, 15
MM, 562, 214, 7
MM, 562, 213, 7
MM, 563, 213, 6
MM, 563, 213, 8
MM, 564, 212, 6
MM, 565, 212, 8
MM, 565, 211, 8
MM, 565, 211, 6
MM, 566, 211, 7
MM, 567, 211, 7
MM, 567, 210, 7
MM, 568, 210, 7
MM, 568, 209, 7
MM, 569, 209, 7
MM, 569, 209, 14
MM, 570, 209, 7
MM, 570, 208, 7
MM, 570, 208, 7
MM, 570, 207, 8
MM, 571, 206, 21
MM, 572, 206, 14
MM, 572, 205, 13
MM, 572, 205, 8
MM, 572, 204, 7
MM, 573, 204, 7
MM, 573, 203, 7
MM, 573, 202, 7
MM, 574, 201, 7
MM, 574, 201, 7
MM, 575, 201, 7
MM, 575, 200, 7
MM, 575, 199, 6
MM, 575, 199, 15
MM, 576, 198, 7
MM, 576, 197, 7
MM, 577, 196, 8
MM, 577, 196, 7
MM, 577, 195, 6
MM, 578, 194, 14
MM, 579, 194, 8
MM, 579, 193, 7
MM, 580, 191, 7
MM, 580, 191, 7
MM, 580, 190, 6
MM, 581, 189, 8
MM, 581, 188, 7
MM, 581, 187, 7
MM, 582, 186, 7
MM, 582, 186, 7
MM, 582, 186, 7
MM, 582, 185, 6
MM, 583, 185, 8
MM, 583, 184, 7
MM, 583, 183, 14
MM, 583, 183, 21
MM, 583, 182, 15
MP, 1, 640
MR, 1, 214
MC, 1, 0
MM, 575, 194, 794
MM, 554, 219, 6
MM, 531, 242, 7
MM, 508, 264, 8
MM, 486, 285, 7
MM, 467, 302, 7
MM, 449, 317, 7
MM, 423, 340, 7
MM, 405, 357, 7
MM, 392, 370, 7
MM, 377, 385, 7
MM, 366, 396, 8
MM, 355, 407, 6
MM, 345, 417, 7
MM, 337, 426, 8
MM, 331, 433, 7
MM, 325, 443, 7
MM, 318, 450, 7
MM, 312, 460, 5
MM, 305, 467, 9
MM, 300, 473, 6
MM, 296, 478, 8
MM, 294, 482, 7
MM, 292, 484, 7
MM, 291, 485, 7
MM, 291, 486, 7
MM, 291, 487, 7
MM, 291, 487, 50
MM, 291, 486, 6
MM, 291, 486, 14
MM, 291, 485, 7
MM, 291, 484, 8
MM, 291, 483, 7
MM, 291, 483, 6
MM, 292, 482, 7
MM, 292, 481, 8
MM, 292, 481, 6
MM, 293, 480, 8
MM, 294, 478, 7
MM, 296, 476, 7
MM, 298, 472, 7
MM, 302, 467, 7
MM, 305, 463, 7
MM, 310, 458, 7
MM, 315, 451, 7
MM, 319, 445, 7
MM, 323, 439, 7
MM, 326, 432, 8
MM, 328, 427, 6
MM, 330, 426, 7
MM, 331, 424, 7
MM, 332, 422, 8
MM, 333, 420, 6
MM, 335, 419, 8
MM, 335, 418, 6
MM, 336, 416, 8
MM, 338, 416, 7
MM, 340, 414, 7
MM, 341, 413, 7
MM, 342, 412, 6
MM, 344, 410, 8
MM, 345, 410, 7
MM, 345, 409, 7
MM, 345, 408, 14
MM, 346, 408, 15
MM, 346, 408, 6
MM, 347, 407, 14
MM, 347, 406, 14
MM, 347, 406, 56
MM, 347, 407, 8
MM, 346, 408, 7
MM, 345, 410, 6
MM, 344, 412, 8
MM, 343, 413, 6
MM, 343, 414, 8
MM, 343, 415, 6
MM, 342, 416, 8
MM, 342, 416, 7
MM, 341, 416, 7
MM, 341, 417, 7
MM, 341, 418, 6
MM, 341, 418, 8
MM, 341, 419, 7
MM, 340, 420, 7
MM, 340, 421, 7
MM, 339, 421, 7
MM, 339, 421, 8
MM, 339, 422, 7
MM, 339, 423, 7
MM, 338, 424, 7
MM, 338, 425, 6
MM, 337, 426, 6
MM, 336, 427, 16
MM, 336, 428, 7
MM, 336, 429, 14
MM, 336, 429, 14
MM, 336, 430, 14
MM, 336, 431, 21
MM, 335, 431, 14
MM, 335, 431, 127
MM, 334, 431, 8
MM, 334, 432, 6
MM, 334, 433, 7
MM, 333, 434, 7
MM, 332, 434, 14
MM, 332, 435, 7
MM, 331, 436, 7
MM, 331, 436, 7
MM, 331, 436, 8
MM, 331, 437, 6
MM, 330, 438, 15
MP, 1, 210
MR, 1, 216
MC, 1, 0
MP, 1, 165
MR, 1, 215
MC, 2, 0
MM, 364, 428, 671
MM, 421, 419, 8
MM, 479, 414, 8
MM, 541, 414, 12
MM, 564, 418, 9
MM, 590, 423, 6
MM, 605, 429, 8
MM, 621, 433, 7
MM, 633, 436, 7
MM, 643, 441, 6
MM, 651, 446, 8
MM, 660, 450, 6
MM, 664, 453, 7
MM, 670, 458, 9
MM, 673, 462, 7
MM, 677, 468, 6
MM, 680, 472, 8
MWM, 680, 472, 0, 3, 1, 249
MWM, 680, 472, 0, 3, 1, 5
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 6
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, 0, 3, 1, 6
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, 0, 3, 1, 6
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, 0, 3, 1, 6
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 49
MWM, 680, 472, 0, 3, 1, 15
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 15
MM, 680, 472, 827
MWM, 680, 472, -1, 3, 1, 1039
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 6
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 7
MWM, 680, 472, 0, 3, 1, 8
MWM, 680, 472, -3, 3, 1, 11
MWM, 680, 472, -1, 3, 1, 18
MWM, 680, 472, -1, 3, 1, 16
MWM, 680, 472, -1, 3, 1, 16
MWM, 680, 472, -1, 3, 1, 15
MWM, 680, 472, -1, 3, 1, 16
MWM, 680, 472, -1, 3, 1, 15
MWM, 680, 472, -1, 3, 1, 15
MWM, 680, 472, -1, 3, 1, 15
MWM, 680, 472, -1, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 13
MWM, 680, 472, 0, 3, 1, 15
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 15
MWM, 680, 472, 0, 3, 1, 15
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 15
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 15
MWM, 680, 472, 0, 3, 1, 16
MWM, 680, 472, 0, 3, 1, 14
MM, 685, 462, 46
MM, 695, 434, 5
MM, 704, 410, 9
MM, 707, 387, 7
MM, 711, 358, 7
MM, 712, 330, 7
MM, 712, 305, 7
MM, 708, 276, 7
MM, 705, 257, 7
MM, 699, 237, 7
MM, 693, 223, 6
MM, 687, 214, 8
MM, 683, 209, 7
MM, 679, 207, 7
MM, 677, 206, 7
MM, 674, 205, 7
MM, 670, 205, 8
MM, 666, 205, 7
MM, 662, 206, 7
MM, 657, 207, 7
MM, 653, 208, 6
MM, 649, 208, 8
MM, 646, 208, 7
MM, 641, 208, 6
MM, 637, 208, 8
MM, 633, 208, 7
MM, 629, 208, 7
MM, 624, 208, 6
MM, 619, 208, 8
MM, 612, 208, 7
MM, 607, 208, 7
MM, 601, 211, 7
MM, 599, 211, 7
MM, 596, 212, 7
MM, 593, 213, 7
MM, 590, 214, 7
MM, 589, 215, 7
MM, 586, 216, 8
MM, 583, 217, 6
MM, 579, 219, 7
MM, 576, 221, 7
MM, 574, 223, 6
MM, 570, 225, 9
MM, 568, 227, 7
MM, 565, 228, 7
MM, 564, 230, 7
MM, 563, 230, 7
MM, 563, 231, 6
MM, 563, 231, 8
MM, 563, 232, 14
MM, 561, 265, 226
MM, 561, 323, 6
MM, 561, 387, 7
MM, 565, 456, 7
MM, 581, 536, 7
MM, 599, 626, 8
MM, 626, 708, 6
MM, 651, 779, 8
MM, 678, 835, 6
MM, 715, 901, 14
MM, 730, 925, 8
MM, 738, 939, 7
MM, 746, 951, 7
MM, 786, 919, 218
MM, 838, 871, 7
MM, 890, 827, 6
MM, 935, 791, 7
MM, 976, 762, 8
MM, 1007, 739, 6
MM, 1029, 721, 7
MM, 1046, 710, 8
MM, 1063, 697, 7
MM, 1080, 686, 7
MM, 1094, 677, 7
MM, 1105, 668, 7
MM, 1114, 660, 8
MM, 1122, 654, 7
MM, 1129, 650, 7
MM, 1134, 648, 7
MM, 1138, 645, 7
MM, 1142, 643, 5
MM, 1146, 641, 9
MM, 1148, 639, 7
MM, 1150, 638, 7
MM, 1151, 637, 7
MM, 1152, 637, 7
MM, 1152, 637, 6
MM, 1153, 637, 7
MM, 1153, 637, 36
MM, 1153, 637, 8
MM, 1153, 637, 6
MM, 1152, 637, 7
MM, 1152, 638, 8
MM, 1152, 638, 14
MM, 1152, 639, 6
MM, 1151, 639, 8
MM, 1151, 639, 6
MM, 1150, 639, 8
MM, 1150, 640, 7
MM, 1149, 640, 14
MM, 1148, 641, 7
MM, 1147, 641, 8
MM, 1147, 641, 13
MM, 1146, 641, 15
MM, 1145, 641, 20
MM, 1145, 641, 14
MM, 1144, 641, 15
MM, 1143, 641, 42
MM, 1142, 641, 14
MM, 1142, 641, 41
MM, 1141, 641, 347
MM, 1141, 641, 7
MM, 1140, 641, 6
MM, 1138, 643, 6
MM, 1132, 648, 9
MM, 1121, 656, 7
MM, 1103, 668, 7
MM, 1062, 693, 7
MM, 1019, 718, 7
MM, 976, 743, 7
MM, 935, 770, 6
MM, 895, 795, 7
MM, 858, 819, 8
MM, 820, 845, 7
MM, 782, 874, 7
MM, 753, 899, 6
MM, 728, 923, 9
MM, 712, 939, 6
MM, 698, 954, 7
MM, 690, 963, 7
MM, 682, 974, 7
MM, 677, 982, 7
MM, 675, 987, 6
MM, 673, 991, 8
MM, 671, 993, 8
MM, 671, 995, 7
MM, 676, 996, 239
MM, 683, 997, 7
MM, 693, 998, 7
MM, 704, 1000, 7
MM, 714, 1001, 7
MM, 724, 1002, 7
MM, 731, 1002, 7
MM, 738, 1004, 8
MM, 743, 1004, 6
MM, 747, 1007, 8
MM, 751, 1007, 6
MM, 755, 1009, 8
MM, 759, 1009, 6
MM, 763, 1012, 7
MM, 767, 1014, 8
MM, 771, 1017, 5
MM, 776, 1021, 8
MM, 779, 1024, 8
MM, 782, 1029, 7
MM, 784, 1030, 6
MM, 785, 1032, 7
MM, 788, 1035, 7
MM, 788, 1036, 8
MM, 788, 1037, 7
MM, 788, 1039, 7
MM, 788, 1040, 8
MM, 788, 1040, 6
MM, 788, 1041, 6
MM, 788, 1043, 8
MM, 788, 1043, 7
MM, 787, 1044, 7
MM, 786, 1046, 7
MM, 784, 1047, 7
MM, 781, 1048, 7
MM, 779, 1050, 6
MM, 778, 1050, 8
MM, 777, 1050, 7
MM, 776, 1051, 8
MM, 776, 1051, 6
MM, 775, 1051, 8
MM, 774, 1051, 7
MM, 774, 1051, 7
MM, 773, 1051, 14
MM, 772, 1051, 7
MM, 771, 1051, 14
MM, 771, 1051, 21
MM, 770, 1051, 14
MM, 770, 1050, 21
MM, 770, 1050, 8
MM, 770, 1049, 6
MM, 769, 1048, 15
MM, 769, 1047, 6
MM, 769, 1047, 21
MM, 769, 1046, 15
MM, 769, 1045, 13
MM, 769, 1045, 22
MM, 768, 1044, 14
MM, 768, 1043, 14
MM, 768, 1042, 57
MM, 768, 1042, 56
MM, 768, 1041, 119
MM, 767, 1040, 20
MM, 767, 1040, 15
MM, 766, 1040, 7
MM, 766, 1039, 8
MM, 766, 1039, 7
MM, 766, 1038, 14
MM, 766, 1038, 85
MM, 766, 1037, 20
MM, 766, 1036, 15
MM, 766, 1035, 42
MM, 766, 1035, 35
MM, 766, 1034, 14
MM, 766, 1033, 7
MM, 766, 1033, 8
MM, 765, 1032, 7
MM, 765, 1031, 14
MM, 764, 1030, 7
MM, 764, 1030, 7
MM, 764, 1029, 7
MM, 764, 1028, 6
MM, 764, 1028, 7
MM, 764, 1027, 22
MM, 764, 1026, 14
MM, 764, 1025, 21
MM, 763, 1025, 7
MM, 763, 1024, 212
MM, 763, 1022, 7
MM, 764, 1019, 6
MM, 764, 1019, 14
MM, 764, 1018, 8
MM, 764, 1017, 13
MM, 764, 1017, 8
MM, 765, 1017, 8
MM, 765, 1016, 5
MM, 766, 1015, 8
MM, 766, 1015, 7
MM, 766, 1014, 7
MM, 766, 1014, 7
MM, 766, 1013, 7
MM, 767, 1013, 7
MM, 767, 1012, 7
MM, 768, 1012, 7
MM, 768, 1012, 15
MM, 768, 1012, 324
MM, 767, 1013, 7
MM, 766, 1015, 7
MM, 766, 1015, 7
MM, 766, 1017, 7
MM, 765, 1018, 7
MM, 765, 1018, 7
MM, 764, 1019, 6
MM, 764, 1020, 8
MM, 763, 1021, 7
MM, 763, 1023, 7
MM, 763, 1026, 7
MM, 763, 1029, 7
MM, 763, 1033, 7
MM, 764, 1037, 7
MM, 765, 1041, 8
MM, 765, 1044, 6
MM, 766, 1047, 7
MM, 766, 1050, 7
MM, 767, 1052, 7
MM, 767, 1052, 8
MM, 767, 1053, 6
MM, 767, 1054, 8
MM, 767, 1055, 7
MM, 767, 1055, 7
MM, 767, 1057, 14
MM, 767, 1058, 14
MM, 767, 1058, 7
MM, 767, 1059, 7
MM, 767, 1060, 7
MM, 767, 1060, 7
MM, 767, 1061, 15
MM, 767, 1062, 20
MM, 767, 1063, 13
MM, 784, 1057, 2058
MM, 812, 1050, 7
MM, 835, 1045, 8
MM, 856, 1039, 6
MM, 876, 1034, 7
MM, 896, 1030, 7
MM, 916, 1025, 8
MM, 933, 1019, 7
MM, 950, 1015, 6
MM, 965, 1011, 7
MM, 981, 1006, 7
MM, 996, 1004, 7
MM, 1008, 1001, 8
MM, 1018, 998, 8
MM, 1028, 997, 6
MM, 1040, 996, 7
MM, 1049, 993, 7
MM, 1057, 992, 7
MM, 1066, 992, 8
MM, 1073, 991, 7
MM, 1081, 990, 7
MM, 1087, 990, 6
MM, 1094, 989, 7
MM, 1099, 989, 7
MM, 1104, 989, 7
MM, 1109, 989, 8
MM, 1113, 989, 6
MM, 1116, 989, 8
MM, 1119, 989, 7
MM, 1122, 989, 7
MM, 1124, 989, 7
MM, 1126, 989, 6
MM, 1129, 989, 8
MM, 1132, 989, 7
MM, 1134, 988, 7
MM, 1137, 988, 7
MM, 1139, 987, 7
MM, 1143, 986, 7
MM, 1144, 985, 6
MM, 1147, 985, 8
MM, 1149, 984, 7
MM, 1150, 984, 8
MM, 1152, 984, 7
MM, 1155, 983, 7
MM, 1155, 983, 6
MM, 1156, 983, 7
MM, 1157, 983, 8
MM, 1158, 983, 7
MM, 1160, 983, 7
MM, 1163, 983, 7
MM, 1164, 983, 7
MM, 1166, 983, 7
MM, 1170, 985, 7
MM, 1174, 987, 7
MM, 1178, 992, 7
MM, 1183, 996, 7
MM, 1187, 998, 7
MM, 1190, 1003, 7
MM, 1193, 1006, 7
MM, 1195, 1008, 7
MM, 1198, 1011, 7
MM, 1201, 1013, 7
MM, 1205, 1017, 7
MM, 1210, 1022, 8
MM, 1214, 1026, 6
MM, 1221, 1036, 7
MM, 1229, 1047, 7
MM, 1238, 1056, 7
MM, 1246, 1065, 8
MM, 1255, 1073, 6
MM, 1262, 1079, 8
MM, 1268, 1085, 6
MM, 1272, 1083, 8
MM, 1275, 1082, 7
MM, 1277, 1080, 7
MM, 1280, 1081, 7
MM, 1280, 1081, 6
MM, 1282, 1081, 8
MM, 1284, 1079, 8
MM, 1284, 1079, 6
MM, 1285, 1080, 14
MM, 1286, 1080, 14
MM, 1287, 1079, 14
MM, 1287, 1079, 22
MM, 1288, 1079, 14
MM, 1289, 1078, 442
MM, 1290, 1076, 8
MM, 1291, 1073, 8
MM, 1292, 1071, 6
MM, 1292, 1070, 8
MM, 1292, 1069, 7
MM, 1292, 1068, 7
MM, 1293, 1067, 7
MM, 1294, 1067, 7
MM, 1294, 1066, 14
MM, 1294, 1066, 6
MM, 1294, 1065, 8
MM, 1295, 1065, 14
MM, 1296, 1065, 15
MM, 1296, 1065, 42
MM, 1297, 1065, 34
MM, 1298, 1065, 15
MP, 1, 195
MR, 1, 216
MC, 1, 0
MM, 1280, 1067, 285
MM, 1244, 1075, 8
MM, 1214, 1081, 7
MM, 1185, 1083, 7
MM, 1156, 1082, 7
MM, 1125, 1081, 7
MM, 1097, 1081, 7
MM, 1069, 1081, 7
MM, 1034, 1080, 7
MM, 1010, 1079, 7
MM, 975, 1081, 7
MM, 944, 1081, 7
MM, 911, 1083, 8
MM, 889, 1082, 7
MM, 872, 1083, 6
MM, 857, 1084, 7
MM, 841, 1084, 8
MM, 826, 1085, 7
MM, 814, 1083, 7
MM, 804, 1083, 7
MM, 795, 1081, 7
MM, 786, 1082, 7
MM, 779, 1079, 6
MM, 774, 1079, 8
MM, 769, 1079, 7
MM, 765, 1079, 7
MM, 763, 1079, 7
MM, 762, 1078, 7
MM, 760, 1077, 7
MM, 759, 1077, 7
MM, 759, 1076, 7
MM, 759, 1074, 8
MM, 758, 1074, 6
MM, 758, 1073, 7
MM, 758, 1072, 7
MM, 758, 1071, 7
MM, 758, 1069, 8
MM, 758, 1067, 7
MM, 758, 1066, 7
MM, 759, 1063, 7
MM, 760, 1061, 7
MM, 760, 1060, 6
MM, 760, 1059, 8
MM, 760, 1058, 7
MM, 760, 1058, 7
MM, 760, 1057, 6
MM, 760, 1056, 8
MM, 760, 1055, 7
MM, 760, 1055, 6
MM, 760, 1054, 16
MM, 760, 1053, 6
MM, 760, 1053, 7
MM, 761, 1052, 7
MM, 761, 1051, 7
MM, 762, 1050, 6
MM, 762, 1049, 8
MM, 762, 1048, 14
MM, 762, 1048, 7
MM, 763, 1047, 6
MM, 763, 1046, 16
MM, 763, 1045, 14
MM, 763, 1045, 13
MM, 763, 1045, 58
MM, 763, 1045, 13
MM, 762, 1045, 22
MM, 761, 1045, 21
MM, 761, 1045, 14
MM, 760, 1045, 21
MM, 759, 1045, 7
MM, 758, 1045, 7
MM, 758, 1045, 7
MM, 757, 1045, 7
MM, 755, 1046, 7
MM, 754, 1047, 6
MM, 752, 1048, 8
MM, 749, 1049, 7
MM, 746, 1050, 7
MM, 745, 1051, 7
MM, 742, 1053, 8
MM, 740, 1054, 7
MM, 739, 1055, 6
MM, 737, 1056, 7
MM, 735, 1057, 8
MM, 733, 1057, 6
MM, 732, 1057, 7
MM, 731, 1057, 8
MM, 730, 1057, 6
MM, 729, 1058, 7
MM, 728, 1058, 8
MM, 727, 1058, 7
MM, 727, 1058, 7
MM, 726, 1058, 13
MM, 725, 1058, 8
MM, 725, 1058, 7
MM, 724, 1058, 7
MM, 723, 1058, 7
MM, 722, 1058, 7
